month,industry,mention
Jan,foodservice,0
Feb,foodservice,0
Mar,foodservice,0
Apr,foodservice,1
May,foodservice,0
Jun,foodservice,2
Jul,foodservice,5
Aug,foodservice,4
Sep,foodservice,3
Oct,foodservice,1
Nov,foodservice,0
Dec,foodservice,0
Jan,automobile,0
Feb,automobile,3
Mar,automobile,2
Apr,automobile,6
May,automobile,22
Jun,automobile,36
Jul,automobile,40
Aug,automobile,32
Sep,automobile,45
Oct,automobile,33
Nov,automobile,28
Dec,automobile,26
Jan,clothing,4
Feb,clothing,7
Mar,clothing,9
Apr,clothing,16
May,clothing,68
Jun,clothing,60
Jul,clothing,127
Aug,clothing,99
Sep,clothing,110
Oct,clothing,188
Nov,clothing,104
Dec,clothing,95
Jan,accessories,0
Feb,accessories,6
Mar,accessories,1
Apr,accessories,30
May,accessories,46
Jun,accessories,10
Jul,accessories,48
Aug,accessories,37
Sep,accessories,34
Oct,accessories,38
Nov,accessories,34
Dec,accessories,70
Jan,hospitality,0
Feb,hospitality,0
Mar,hospitality,0
Apr,hospitality,0
May,hospitality,0
Jun,hospitality,0
Jul,hospitality,0
Aug,hospitality,0
Sep,hospitality,0
Oct,hospitality,0
Nov,hospitality,0
Dec,hospitality,0
Jan,cosmetics,1
Feb,cosmetics,0
Mar,cosmetics,4
Apr,cosmetics,2
May,cosmetics,7
Jun,cosmetics,11
Jul,cosmetics,8
Aug,cosmetics,7
Sep,cosmetics,21
Oct,cosmetics,30
Nov,cosmetics,32
Dec,cosmetics,23
Jan,department,0
Feb,department,0
Mar,department,0
Apr,department,0
May,department,4
Jun,department,2
Jul,department,0
Aug,department,0
Sep,department,0
Oct,department,0
Nov,department,0
Dec,department,3
Jan,sports,0
Feb,sports,0
Mar,sports,0
Apr,sports,3
May,sports,1
Jun,sports,6
Jul,sports,5
Aug,sports,4
Sep,sports,4
Oct,sports,10
Nov,sports,15
Dec,sports,10
Jan,footwear,0
Feb,footwear,0
Mar,footwear,0
Apr,footwear,1
May,footwear,6
Jun,footwear,4
Jul,footwear,8
Aug,footwear,4
Sep,footwear,11
Oct,footwear,14
Nov,footwear,12
Dec,footwear,4
Jan,ecommerce,0
Feb,ecommerce,0
Mar,ecommerce,0
Apr,ecommerce,0
May,ecommerce,0
Jun,ecommerce,0
Jul,ecommerce,0
Aug,ecommerce,0
Sep,ecommerce,0
Oct,ecommerce,0
Nov,ecommerce,0
Dec,ecommerce,0
Jan,outdoor,0
Feb,outdoor,0
Mar,outdoor,0
Apr,outdoor,4
May,outdoor,14
Jun,outdoor,7
Jul,outdoor,1
Aug,outdoor,5
Sep,outdoor,24
Oct,outdoor,31
Nov,outdoor,31
Dec,outdoor,30
Jan,electronics,0
Feb,electronics,0
Mar,electronics,0
Apr,electronics,0
May,electronics,0
Jun,electronics,0
Jul,electronics,0
Aug,electronics,0
Sep,electronics,0
Oct,electronics,0
Nov,electronics,0
Dec,electronics,0
